1      52.929  58.563  20.709 
2      56.188  55.072  32.569 
3      49.432  44.453  45.131 
4      38.807  41.921  42.910 
5      33.904  47.572  31.066 
6      41.412  47.565  22.305 
7      47.507  43.542  33.216 
8      34.889  27.659  14.925 
1      34.060  16.556  20.709 
2      35.454  21.124  32.569 
3      48.029  20.583  45.131 
4      55.534  12.647  42.910 
5      53.091   5.576  31.066 
6      49.344  12.081  22.305 
7      49.780  19.371  33.216 
8      69.844  16.385  14.925 
1      79.874  21.219  20.709 
2      75.221  20.142  32.569 
3      69.402  31.303  45.131 
4      72.522  41.770  42.910 
5      79.868  43.191  31.066 
6      76.107  36.692  22.305 
7      69.576  33.425  33.216 
8      62.130  52.294  14.925 

